oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16442,customer_i1,i,1892573184,60000000,1440000000,76.09,0,0,0,186676180,9.86
16452,customer_i2,i,3494813696,60000000,2850378352,81.56,0,0,0,340404812,9.74
16440,district_i1,i,466944,20000,320000,68.53,0,0,0,47060,10.08
16435,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16438,new_order_i1,i,567779328,18000000,432000000,76.09,0,0,0,56009460,9.86
16437,order_line_i1,i,18924789760,599979715,14399513160,76.09,0,0,0,1866605464,9.86
16441,orders_i1,i,1892573184,60000000,1440000000,76.09,0,0,0,186676180,9.86
16451,orders_i2,i,1892573184,60000000,1440000000,76.09,0,0,0,186676180,9.86
16439,stock_i1,i,4492353536,200000000,3200000000,71.23,0,0,0,441537492,9.83
16436,warehouse_i1,i,65536,2000,32000,48.83,0,0,0,8788,13.41
16406,customer,r,36436418560,60000000,34888906876,95.75,0,0,0,973897604,2.67
16411,district,r,2457600,20000,2280298,92.79,0,0,0,19528,0.79
16414,history,r,4817952768,60000000,4319987138,89.66,0,0,0,20142652,0.42
16417,item,r,10641408,100000,9792157,92.02,0,0,0,60384,0.57
16420,new_order,r,797065216,18000000,612000000,76.78,0,0,0,2340872,0.29
16423,order_line,r,55852662784,599979715,50862207256,91.06,0,0,0,463626348,0.83
16426,orders,r,3614121984,60000000,3084000000,85.33,0,0,0,1769028,0.05
16429,stock,r,68359192576,200000000,66181569810,96.81,0,0,0,465115976,0.68
16432,warehouse,r,237568,2000,215790,90.83,0,0,0,5948,2.5
