oid,relname,relkind,table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
16434,customer_i1,i,1892573184,60000000,1440000000,76.09,0,0,0,186676180,9.86
16450,customer_i2,i,3494789120,60000000,2850356552,81.56,0,0,0,340425804,9.74
16436,district_i1,i,466944,20000,320000,68.53,0,0,0,47060,10.08
16438,item_i1,i,2260992,100000,1600000,70.77,0,0,0,227092,10.04
16440,new_order_i1,i,567779328,18000000,432000000,76.09,0,0,0,56009460,9.86
16442,order_line_i1,i,18925764608,600010322,14400247728,76.09,0,0,0,1866706508,9.86
16444,orders_i1,i,1892573184,60000000,1440000000,76.09,0,0,0,186676180,9.86
16451,orders_i2,i,1892573184,60000000,1440000000,76.09,0,0,0,186676180,9.86
16446,stock_i1,i,4492353536,200000000,3200000000,71.23,0,0,0,441537492,9.83
16448,warehouse_i1,i,65536,2000,32000,48.83,0,0,0,8788,13.41
16404,customer,r,36451115008,60000000,34888948313,95.71,0,0,0,988516184,2.71
16410,district,r,2457600,20000,2279159,92.74,0,0,0,19900,0.81
16413,history,r,4817969152,60000000,4319987765,89.66,0,0,0,20155588,0.42
16416,item,r,10633216,100000,9786945,92.04,0,0,0,57844,0.54
16419,new_order,r,797065216,18000000,612000000,76.78,0,0,0,2340872,0.29
16422,order_line,r,55855513600,600010322,50864816674,91.06,0,0,0,463651576,0.83
16425,orders,r,3614121984,60000000,3084000000,85.33,0,0,0,1769028,0.05
16428,stock,r,68359110656,200000000,66181729614,96.81,0,0,0,464899968,0.68
16431,warehouse,r,237568,2000,216334,91.06,0,0,0,5292,2.23
