oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16992,customer_i1,4,3,1892573184,41827,1140,229886,0,0,90.04,0
17009,customer_i2,4,3,3494789120,17574,3278,423331,0,0,90.14,0
16994,district_i1,4,1,466944,3,1,55,0,0,89.5,0
16996,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16998,new_order_i1,4,3,567779328,42442,342,68966,0,0,90.04,0
17000,order_line_i1,4,3,18925764608,41827,11382,2298891,0,0,90.04,0
17002,orders_i1,4,3,1892573184,41827,1140,229886,0,0,90.04,0
17008,orders_i2,4,3,1892573184,41827,1140,229886,0,0,90.04,0
17004,stock_i1,4,3,4492353536,81517,1933,546449,0,0,90.09,0
17006,warehouse_i1,4,1,65536,3,1,6,0,0,82.03,0
