relid,indexrelid,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch
2836,2837,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0
4171,4172,pg_toast,pg_toast_1247,pg_toast_1247_index,0,0,0
2830,2831,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0
2832,2833,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0
4157,4158,pg_toast,pg_toast_2612,pg_toast_2612_index,0,0,0
4159,4160,pg_toast,pg_toast_2600,pg_toast_2600_index,0,0,0
3439,3440,pg_toast,pg_toast_3381,pg_toast_3381_index,0,0,0
3430,3431,pg_toast,pg_toast_3429,pg_toast_3429_index,0,0,0
2840,2841,pg_toast,pg_toast_2619,pg_toast_2619_index,987559,2086610,2086610
2838,2839,pg_toast,pg_toast_2618,pg_toast_2618_index,25,90,90
2336,2337,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0
4145,4146,pg_toast,pg_toast_3466,pg_toast_3466_index,0,0,0
2834,2835,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0
4163,4164,pg_toast,pg_toast_2615,pg_toast_2615_index,0,0,0
8888,8889,pg_toast,pg_toast_2608,pg_toast_2608_index,0,0,0
4177,4178,pg_toast,pg_toast_1262,pg_toast_1262_index,0,0,0
2966,2967,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0
4185,4186,pg_toast,pg_toast_1213,pg_toast_1213_index,0,0,0
4175,4176,pg_toast,pg_toast_1260,pg_toast_1260_index,0,0,0
2846,2847,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0
4169,4170,pg_toast,pg_toast_3600,pg_toast_3600_index,0,0,0
4147,4148,pg_toast,pg_toast_3079,pg_toast_3079_index,0,0,0
4149,4150,pg_toast,pg_toast_2328,pg_toast_2328_index,0,0,0
4151,4152,pg_toast,pg_toast_1417,pg_toast_1417_index,0,0,0
4173,4174,pg_toast,pg_toast_1418,pg_toast_1418_index,0,0,0
4153,4154,pg_toast,pg_toast_3118,pg_toast_3118_index,0,0,0
