oid,relname,version,tree_level,index_size,root_block_no,internal_pages,leaf_pages,empty_pages,deleted_pages,avg_leaf_density,leaf_fragmentation
16463,customer_i1,4,3,1892573184,41827,1140,229886,0,0,90.04,0
16453,customer_i2,4,3,3836854272,14866,3850,464515,0,0,90.14,0
16450,district_i1,4,1,589824,3,1,70,0,0,98.51,0
16448,item_i1,4,1,2260992,3,1,274,0,0,89.83,0
16451,new_order_i1,4,3,567787520,41827,343,68966,0,0,90.04,0
16454,order_line_i1,4,3,24362033152,26532,18394,2955486,0,0,90.13,0
16461,orders_i1,4,3,1892573184,41827,1140,229886,0,0,90.04,0
16447,orders_i2,4,3,2435006464,31668,1674,295567,0,0,90.09,0
16452,stock_i1,4,3,6308495360,41827,3795,766284,0,0,90.04,0
16449,warehouse_i1,4,1,57344,3,1,5,0,0,98.38,0
